6422, com.fasterxml.jackson.core.util.DefaultPrettyPrinter, com.fasterxml.jackson.core.util.DefaultPrettyPrinter withSeparators(com.fasterxml.jackson.core.util.Separators)_0, this.<com.fasterxml.jackson.core.util.DefaultPrettyPrinter: java.lang.String _objectFieldValueSeparatorWithSpaces>_{6422} = Func_8_6422({stack2_{6413}, this.<com.fasterxml.jackson.core.util.Separators: char objectFieldValueSeparator>_{6396}})
7253, com.fasterxml.jackson.core.JsonFactory, void <init>(com.fasterxml.jackson.core.ObjectCodec)_0, this.<com.fasterxml.jackson.core.JsonFactory: char _quoteChar> = 34
7362, com.fasterxml.jackson.core.JsonFactory, void <init>(com.fasterxml.jackson.core.ObjectCodec)_0, this.<com.fasterxml.jackson.core.JsonFactory: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer _byteSymbolCanonicalizer>_{7362} = Func_9_7362({stack1_{7323}})
7372, com.fasterxml.jackson.core.JsonFactory, void <init>(com.fasterxml.jackson.core.ObjectCodec)_0, this.<com.fasterxml.jackson.core.JsonFactory: char _quoteChar> = 34
7435, com.fasterxml.jackson.core.util.BufferRecycler, void <clinit>()_0, <com.fasterxml.jackson.core.util.BufferRecycler: int[] BYTE_BUFFER_LENGTHS>_{7435} = Func_10_7435({stack0[1]_{7432}, stack0[3]_{7434}, stack0_{7430}, stack0[0]_{7431}, stack0[2]_{7433}})
7441, com.fasterxml.jackson.core.util.BufferRecycler, void <clinit>()_0, <com.fasterxml.jackson.core.util.BufferRecycler: int[] CHAR_BUFFER_LENGTHS>_{7441} = Func_10_7441({stack1[3]_{7440}, stack1[2]_{7439}, stack1[1]_{7438}, stack1[0]_{7437}, stack1_{7436}})
7446, com.fasterxml.jackson.core.util.BufferRecycler, void <init>(int;int)_0, $stack3 = new java.util.concurrent.atomic.AtomicReferenceArray
7447, com.fasterxml.jackson.core.util.BufferRecycler, void <init>(int;int)_0, specialinvoke $stack3.<java.util.concurrent.atomic.AtomicReferenceArray: void <init>(int)>(bbCount)
7448, com.fasterxml.jackson.core.util.BufferRecycler, void <init>(int;int)_0, this.<com.fasterxml.jackson.core.util.BufferRecycler: java.util.concurrent.atomic.AtomicReferenceArray _byteBuffers> = $stack3
7449, com.fasterxml.jackson.core.util.BufferRecycler, void <init>(int;int)_0, $stack4 = new java.util.concurrent.atomic.AtomicReferenceArray
7450, com.fasterxml.jackson.core.util.BufferRecycler, void <init>(int;int)_0, specialinvoke $stack4.<java.util.concurrent.atomic.AtomicReferenceArray: void <init>(int)>(cbCount)
7451, com.fasterxml.jackson.core.util.BufferRecycler, void <init>(int;int)_0, this.<com.fasterxml.jackson.core.util.BufferRecycler: java.util.concurrent.atomic.AtomicReferenceArray _charBuffers> = $stack4
7495, com.fasterxml.jackson.core.util.BufferRecycler, byte[] allocByteBuffer(int;int)_0, minSize_{7495} = Func_11_7495({<com.fasterxml.jackson.core.util.BufferRecycler: int[] BYTE_BUFFER_LENGTHS>_{7435}})
7496, com.fasterxml.jackson.core.util.BufferRecycler, byte[] allocByteBuffer(int;int)_0, $stack6 = this.<com.fasterxml.jackson.core.util.BufferRecycler: java.util.concurrent.atomic.AtomicReferenceArray _byteBuffers>
7497, com.fasterxml.jackson.core.util.BufferRecycler, byte[] allocByteBuffer(int;int)_0, $stack7 = virtualinvoke $stack6.<java.util.concurrent.atomic.AtomicReferenceArray: java.lang.Object getAndSet(int;java.lang.Object)>(ix; null)
7498, com.fasterxml.jackson.core.util.BufferRecycler, byte[] allocByteBuffer(int;int)_0, buffer = (byte[]) $stack7
7507, com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper, void <init>(com.fasterxml.jackson.core.io.IOContext;java.io.InputStream)_0, this.<com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper: byte[] _inputBuffer>_{7507} = Func_13_7507({minSize_{7495}})
7508, com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper, void <init>(com.fasterxml.jackson.core.io.IOContext;java.io.InputStream)_0, this.<com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper: int _inputPtr>_{7508} = Func_13_7508({this.<com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper: int _inputPtr>_{7508}})
7514, com.fasterxml.jackson.core.JsonFactory, com.fasterxml.jackson.core.JsonParser _createParser(java.io.InputStream;com.fasterxml.jackson.core.io.IOContext)_0, stack6_{7514} = Func_13_7514({this.<com.fasterxml.jackson.core.JsonFactory: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer _byteSymbolCanonicalizer>_{7362}})
7518, com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper, com.fasterxml.jackson.core.JsonParser constructParser(int;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer;int)_0, prevInputPtr = this.<com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper: int _inputPtr>
7659, com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper, com.fasterxml.jackson.core.JsonParser constructParser(int;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer;int)_0, $stack11 = this.<com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper: int _inputPtr>
7660, com.fasterxml.jackson.core.json.ByteSourceJsonBootstrapper, com.fasterxml.jackson.core.JsonParser constructParser(int;com.fasterxml.jackson.core.ObjectCodec;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer;int)_0, bytesProcessed = $stack11 - prevInputPtr
7705, com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer, void <init>(com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer;boolean;int;boolean;com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer$TableInfo)_0, this.<com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer: com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer _parent>_{7705} = Func_15_7705({stack6_{7514}})
7734, com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer, com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer makeChild(int)_0 END, stack2_{7734} = Func_15_7734({stack2_{7676}})
7765, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack0 = <com.fasterxml.jackson.core.JsonParser$Feature: com.fasterxml.jackson.core.JsonParser$Feature ALLOW_TRAILING_COMMA>
7766, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack1 = virtualinvoke $stack0.<com.fasterxml.jackson.core.JsonParser$Feature: int getMask()>()
7768, com.fasterxml.jackson.core.JsonParser$Feature, int getMask()_8 END, stack1_{7768} = Func_16_7768({this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2257}})
7769, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, <com.fasterxml.jackson.core.json.UTF8StreamJsonParser: int FEAT_MASK_TRAILING_COMMA> = $stack1
7770, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack2 = <com.fasterxml.jackson.core.JsonParser$Feature: com.fasterxml.jackson.core.JsonParser$Feature ALLOW_NUMERIC_LEADING_ZEROS>
7771, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack3 = virtualinvoke $stack2.<com.fasterxml.jackson.core.JsonParser$Feature: int getMask()>()
7773, com.fasterxml.jackson.core.JsonParser$Feature, int getMask()_9 END, stack1_{7773} = Func_17_7773({this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2230}})
7774, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, <com.fasterxml.jackson.core.json.UTF8StreamJsonParser: int FEAT_MASK_LEADING_ZEROS> = $stack3
7775, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack4 = <com.fasterxml.jackson.core.JsonParser$Feature: com.fasterxml.jackson.core.JsonParser$Feature ALLOW_NON_NUMERIC_NUMBERS>
7776, com.fasterxml.jackson.core.json.UTF8StreamJsonParser, void <clinit>()_0, $stack5 = virtualinvoke $stack4.<com.fasterxml.jackson.core.JsonParser$Feature: int getMask()>()
7778, com.fasterxml.jackson.core.JsonParser$Feature, int getMask()_10 END, stack1_{7778} = Func_18_7778({this.<com.fasterxml.jackson.core.JsonParserFeature: int _mask>_{2239}})
